Date,Title,Type,Score,Teacher
"Feb 11, 2025",MEETINGS I,Online Private Class,100,Gelesa B.
"Feb 6, 2025",MAKING A SPEECH,Online Private Class,100,Gelesa B.
"Feb 5, 2025",DEALING WITH CHANGES,Online Private Class,100,Gelesa B.
"Feb 4, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 30, 2025",ARGUING YOUR POINT,Online Private Class,100,Gelesa B.
"Jan 30, 2025",DEALING WITH NEWS,Online Private Class,100,Gelesa B.
"Jan 24, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 23, 2025",BUYING A NEW COMPUTER,Online Group Class,85,Boitshepo K.
"Jan 21, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 17, 2025",TBD,Online Private Class,100,Gelesa B.
"Jan 16, 2025",TBD,Online Private Class,100,Gelesa B.
"Jan 16, 2025",TBD,Online Private Class,100,Gelesa B.
"Jan 15, 2025",TBD,Online Private Class,100,Gelesa B.
"Jan 15, 2025",TBD,Online Private Class,100,Gelesa B.
"Jan 14, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 14, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 10, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 9, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 9, 2025",DISCUSSING DIFFICULT ISSUES,Online Private Class,100,Gelesa B.
"Jan 8, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 8, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 7, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 7, 2025",DISCUSSION,Online Private Class,100,Gelesa B.
"Jan 3, 2025",CONTRIBUTING TO SOCIETY,Online Private Class,100,Gelesa B.
"Dec 31, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 31, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 20, 2024",PAST AND PRESENT,Online Group Class,85,Amukelo M.
"Dec 19, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 17, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 13, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 11, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Dec 4, 2024",BUSINESS ENGLISH,Online Private Class,100,Gelesa B.
"Nov 26, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Nov 13, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Nov 12, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Nov 6, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Oct 30, 2024",BUSINESS ENGLISH,Online Private Class,100,Gelesa B.
"Oct 28, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Oct 23, 2024",INTERVIEW,Online Private Class,100,Gelesa B.
"Oct 22, 2024",GETTING THE RIGHT TONE,Writing Challenge,0,Thandiwe M.
"Oct 16, 2024",SOLVING PROBLEMS,Online Group Class,85,Eva R.
"Oct 11, 2024",WRITING ABOUT PRODUCT INNOVATION,Writing Challenge,0,Scott K.
"Oct 10, 2024",TELLING SCARY STORIES,Online Group Class,60,David D.
"Oct 8, 2024",TO BE SELECTED,Online Private Class,100,Gelesa B.
"Oct 5, 2024",MANAGEMENT I,Online Private Class,100,Gelesa B.
"Oct 2, 2024",BUSINESS ENGLISH,Online Private Class,100,Gelesa B.
"Sep 27, 2024",DISCUSSION,Online Private Class,100,Gelesa B.
"Sep 26, 2024",INTERVIEW,Online Private Class,100,Gelesa B.
"Sep 23, 2024",INTERVIEW PREP,Online Private Class,100,Gelesa B.
"Sep 21, 2024",INTERVIEW PREP,Online Private Class,100,Gelesa B.
"Sep 20, 2024",INTERVIEWING,Online Private Class,100,Gelesa B.
